Ticker,Price,P/E,P/B,Valuation_Type,PE_Distance,PB_Distance,Base_Score,Category_Multiplier,Raw_Score,Adjusted_Score,Weighted_Score,Allocation_Pct,Allocation_$,Shares,Actual_Investment,Category
NVDA,190.53,47.160892,38.947258,pe_undervalued,2.1647230999999962,-29.072050141164,-26.907327041164002,1.2,-32.2887924493968,416.6204045917672,72313870.80741163,0.01256058089050347,1256.058089050347,6.0,1143.18,P/E Undervalued
AAPL,273.4,36.648792,54.7786,pe_undervalued,12.676823099999993,-44.903392141164,-32.226569041164005,1.2,-38.6718828493968,410.2373141917672,69040746.83144477,0.011992054575900983,1199.2054575900984,4.0,1093.6,P/E Undervalued
MSFT,487.71,34.712456,9.985872,pe_undervalued,14.61315909999999,-0.11066414116399947,14.50249495883599,1.2,17.40299395060319,466.31219099176724,101398214.7250268,0.01761239529824481,1761.239529824481,3.0,1463.1299999999999,P/E Undervalued
AMZN,232.52,32.88826,6.722757,both_undervalued,16.43735509999999,3.1524508588360014,19.589805958835992,2.0,39.179611917671984,488.088808958836,116277731.5093932,0.020196897719355462,2019.6897719355463,8.0,1860.16,Both Undervalued (Best)
GOOGL,313.51,30.948668,9.787094,both_undervalued,18.37694709999999,0.08811385883600131,18.46506095883599,2.0,36.93012191767198,485.839318958836,114677436.98147795,0.019918934050116372,1991.8934050116372,6.0,1881.06,Both Undervalued (Best)
GOOG,314.96,31.061142,9.83236,both_undervalued,18.264473099999993,0.04284785883600151,18.307320958835994,2.0,36.61464191767199,485.523838958836,114454184.46357752,0.019880156132701814,1988.0156132701813,6.0,1889.7599999999998,Both Undervalued (Best)
META,663.29,29.323164,8.616393,both_undervalued,20.002451099999995,1.2588148588360006,21.261265958835995,2.0,42.52253191767199,491.431728958836,118683290.58015905,0.020614732070606122,2061.4732070606124,3.0,1989.87,Both Undervalued (Best)
AVGO,352.13,74.13263,5.9460325,pb_undervalued,-24.807014900000013,3.9291753588360008,-20.87783954116401,1.2,-25.05340744939681,423.85578959176723,76147273.73927797,0.013226425037331598,1322.6425037331599,3.0,1056.3899999999999,P/B Undervalued
TSLA,475.19,323.25848,19.75185,both_overvalued,-273.9328649,-9.876642141164,-283.809507041164,1.0,-283.809507041164,165.09969,4500272.101098299,0.0007816762002087116,78.16762002087115,0.0,0.0,Both Overvalued (Worst)
BRK-B,498.3,15.925215,0.0010268418,both_undervalued,33.40040009999999,9.874181017036001,43.27458111703599,2.0,86.54916223407199,535.458359275236,153524293.94658792,0.026666451280269565,2666.6451280269566,5.0,2491.5,Both Undervalued (Best)
LLY,1077.75,52.908688,40.577938,both_overvalued,-3.583072900000005,-30.702730141164004,-34.28580304116401,1.0,-34.28580304116401,414.623394,71278968.62247385,0.012380823224892,1238.0823224892,1.0,1077.75,Both Overvalued (Worst)
JPM,327.91,16.233168,2.6241827,both_undervalued,33.092447099999994,7.251025158836001,40.343472258835995,2.0,80.68694451767199,529.596141558836,148536927.75736955,0.02580016911682301,2580.0169116823013,7.0,2295.3700000000003,Both Undervalued (Best)
WMT,111.74,39.06993,9.269952,both_undervalued,10.255685099999994,0.6052558588360011,10.860940958835995,2.0,21.72188191767199,470.631078958836,104241777.82487425,0.01810630889924685,1810.6308899246849,16.0,1787.84,Both Undervalued (Best)
V,355.0,34.838078,18.315964,pe_undervalued,14.48753709999999,-8.440756141164,6.04678095883599,1.2,7.2561371506031875,456.1653341917672,94921990.19083771,0.01648750540895392,1648.7505408953919,4.0,1420.0,P/E Undervalued
ORCL,197.99,37.146343,18.991846,pe_undervalued,12.179272099999991,-9.116638141163998,3.0626339588359937,1.2,3.675160750603192,452.5843577917672,92704031.14119369,0.016102256303300696,1610.2256303300696,8.0,1583.92,P/E Undervalued
MA,579.6,37.035145,66.00615,pe_undervalued,12.290470099999993,-56.130942141164006,-43.84047204116401,1.2,-52.60856644939681,396.30063059176723,62240674.45776454,0.010810913832676737,1081.0913832676736,1.0,585.3,P/E Undervalued
XOM,119.11,17.3125,1.927783,both_undervalued,32.01311509999999,7.947424858836001,39.960539958835994,2.0,79.92107991767199,528.8302769588361,147893448.3134042,0.025688399749244438,2568.8399749244436,21.0,2501.31,Both Undervalued (Best)
JNJ,207.63,20.08027,6.30194,both_undervalued,29.245345099999994,3.573267858836001,32.818612958836,2.0,65.637225917672,514.546422958836,136230292.85060087,0.02366256423534682,2366.2564235346817,11.0,2283.93,Both Undervalued (Best)
PLTR,188.71,438.86047,68.24955,both_overvalued,-389.5348549,-58.374342141164,-447.909197041164,1.0,-447.909197041164,1.0,1.0,1.736953194492267e-10,1.736953194492267e-05,0.0,0.0,Both Overvalued (Worst)
BAC,56.17,15.346993,1.4800663,both_undervalued,33.978622099999995,8.395141558836,42.373763658836,2.0,84.747527317672,533.6567243588361,151979831.41009545,0.026398185366616145,2639.8185366616144,48.0,2696.1600000000003,Both Undervalued (Best)
ABBV,229.98,175.55725,-153.83278,pb_undervalued,-126.23163490000002,163.70798785883602,37.476352958836,1.2,44.971623550603205,493.88082059176725,120466552.8500346,0.020924476380233908,2092.447638023391,9.0,2069.8199999999997,P/B Undervalued
NFLX,94.47,39.527195,15.423674,pe_undervalued,9.798420099999994,-5.548466141163999,4.249953958835995,1.2,5.099944750603194,454.0091417917672,93582316.92248198,0.01625481043264928,1625.4810432649278,17.0,1606.78,P/E Undervalued
COST,873.35,46.728195,12.794087,pe_undervalued,2.5974200999999937,-2.9188791411639983,-0.3214590411640046,1.2,-0.3857508493968055,448.5234461917672,90230933.62735014,0.01567269084060455,1567.269084060455,1.0,873.35,P/E Undervalued
AMD,214.99,112.56021,5.7576327,pb_undervalued,-63.234594900000005,4.117575158836001,-59.117019741164,1.2,-70.9404236893968,377.96877335176725,53996767.74051873,0.009378985821915098,937.8985821915098,4.0,874.95,P/B Undervalued
HD,349.78,23.859482,28.724644,pe_undervalued,25.466133099999993,-18.849436141164,6.616696958835995,1.2,7.940036350603194,456.8492333917672,95349561.79409625,0.016561772595169326,1656.1772595169325,4.0,1399.12,P/E Undervalued
PG,144.74,21.129929,6.442338,both_undervalued,28.195686099999993,3.4328698588360007,31.628555958835992,2.0,63.257111917671985,512.166308958836,134348561.175432,0.023335716250910635,2333.5716250910637,16.0,2315.84,Both Undervalued (Best)
GE,315.14,42.18742,17.670742,pe_undervalued,7.13819509999999,-7.795534141164,-0.6573390411640094,1.2,-0.7888068493968113,448.1203901917672,89987899.86055514,0.015630477012844146,1563.0477012844146,4.0,1260.56,P/E Undervalued
MU,284.79,27.09705,5.453031,both_undervalued,22.228565099999994,4.422176858836001,26.650741958835994,2.0,53.30148391767199,502.210680958836,126665352.18842134,0.02200117881151665,2200.1178811516647,7.0,1993.5300000000002,Both Undervalued (Best)
CSCO,78.16,30.177608,6.566412,both_undervalued,19.148007099999994,3.3087958588360014,22.456802958835993,2.0,44.91360591767199,493.822802958836,120424103.15603259,0.020917103067073707,2091.710306707371,26.0,2032.1599999999999,Both Undervalued (Best)
CVX,150.02,21.09986,1.5911503,both_undervalued,28.225755099999994,8.284057558836,36.509812658836,2.0,73.019625317672,521.928822358836,142178471.62827244,0.024695735048275595,2469.5735048275596,16.0,2400.32,Both Undervalued (Best)
KO,69.87,23.135763,9.619992,both_undervalued,26.189852099999992,0.2552158588360012,26.445067958835992,2.0,52.890135917671984,501.799332958836,126354361.94329087,0.02194716126154312,2194.716126154312,31.0,2165.9700000000003,Both Undervalued (Best)
WFC,95.26,15.693575,1.8230183,both_undervalued,33.6320401,8.052189558836002,41.684229658836,2.0,83.368459317672,532.277656358836,150804641.30182853,0.026194060345347152,2619.406034534715,27.0,2572.02,Both Undervalued (Best)
